case_id,collision_severity,latitude,longitude,population,lighting,collision_time,intersection,location_type,road_surface,road_condition_1,weather_1,at_fault,financial_responsibility,party_age,party_sex,party_drug_physical,cellphone_in_use,vehicle_make,vehicle_year,party_sex_value,collision_severity_value,population_value,lighting_value,road_surface_value,weather_1_value,vehicle_make_norm,location_type_value,road_condition_1_value,financial_responsibility_value,party_drug_physical_value,alcohol_involved_value,ClusterNumber
2738987,property damage only,38.64272,-121.12321,unincorporated,daylight,18:00:00,0,highway,dry,normal,clear,1,no proof of insurance obtained,32,female,not applicable,0,audi,2002,2,1,1,5,1,1,audi,1,1,2,1,0,3
2739065,pain,38.5759,-121.46635,>250000,daylight,12:11:00,0,highway,dry,normal,clear,1,proof of insurance obtained,17,female,not applicable,1,toyota,1998,2,2,8,5,1,1,toyota,1,1,1,1,0,3
2741500,other injury,38.55391,-121.40791,unincorporated,daylight,07:50:00,0,highway,dry,normal,clear,1,proof of insurance obtained,39,female,not applicable,1,nissan,1999,2,3,1,5,1,1,nissan,1,1,1,1,0,3
2744980,other injury,38.35833,-121.34452,unincorporated,daylight,19:00:00,0,highway,dry,normal,clear,1,no proof of insurance obtained,24,male,not applicable,1,oldsmobile,1986,1,3,1,5,1,1,oldsmobile,1,1,2,1,1,3
2759868,pain,38.58823,-121.29223,unincorporated,dark with no street lights,00:53:00,0,highway,dry,normal,clear,1,proof of insurance obtained,26,male,not applicable,1,nissan,1998,1,2,1,1,1,1,nissan,1,1,1,1,1,3
2759942,other injury,38.64739,-121.11483,unincorporated,daylight,16:10:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,15,female,not applicable,1,dodge,2002,2,3,1,5,1,1,dodge,2,1,1,1,0,3
2795048,severe injury,38.64344,-121.10295,unincorporated,daylight,17:25:00,0,highway,dry,normal,clear,1,no proof of insurance obtained,40,female,not applicable,1,honda,2000,2,4,1,5,1,1,honda,1,1,2,1,0,3
2795079,severe injury,38.64255,-121.13835,50000 to 100000,daylight,17:30:00,0,highway,dry,normal,clear,1,proof of insurance obtained,17,male,not applicable,0,dodge,2000,1,4,6,5,1,1,dodge,1,1,1,1,0,3
2797718,property damage only,38.55941,-121.38135,>250000,daylight,14:55:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,30,male,not applicable,1,peterbilt,1992,1,1,8,5,1,1,peterbilt,2,1,1,1,0,3
2797722,property damage only,38.56784,-121.51235,>250000,daylight,15:20:00,0,ramp,dry,normal,clear,1,no proof of insurance obtained,24,male,not applicable,0,toyota,1992,1,1,8,5,1,1,toyota,2,1,2,1,0,3
2800843,pain,38.56484,-121.33843,unincorporated,daylight,08:00:00,0,highway,dry,normal,clear,1,proof of insurance obtained,16,female,not applicable,1,nissan,1996,2,2,1,5,1,1,nissan,1,1,1,1,0,3
2800858,pain,38.54609,-121.4742,>250000,daylight,15:30:00,0,highway,dry,normal,clear,1,proof of insurance obtained,17,male,not applicable,1,ford,1988,1,2,8,5,1,1,ford,1,1,1,1,0,3
2816257,pain,38.63834,-121.19841,unincorporated,dusk or dawn,06:50:00,0,ramp,dry,normal,cloudy,1,proof of insurance obtained,46,male,not applicable,1,chevrolet,1967,1,2,1,3,1,2,chevrolet,2,1,1,1,0,3
2818499,property damage only,38.47993,-121.4294,unincorporated,daylight,17:00:00,0,highway,dry,normal,clear,1,no proof of insurance obtained,41,male,not applicable,1,ford,2000,1,1,1,5,1,1,ford,1,1,2,1,0,3
2838279,severe injury,38.64275,-121.15796,50000 to 100000,daylight,12:34:00,0,ramp,dry,normal,clear,1,no proof of insurance obtained,55,male,not applicable,0,bmw,1999,1,4,6,5,1,1,bmw,2,1,2,1,0,3
2838304,other injury,38.5585,-121.37943,>250000,daylight,11:20:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,26,male,not applicable,1,honda,1999,1,3,8,5,1,1,honda,2,1,1,1,0,3
2838308,other injury,38.54237,-121.47351,>250000,daylight,16:45:00,0,highway,dry,normal,clear,1,proof of insurance obtained,40,male,not applicable,1,ford,1997,1,3,8,5,1,1,ford,1,1,1,1,0,3
2842697,other injury,38.5512,-121.47493,>250000,daylight,16:10:00,0,highway,dry,normal,clear,1,proof of insurance obtained,32,male,not applicable,0,toyota,1993,1,3,8,5,1,1,toyota,1,1,1,1,0,3
2843848,severe injury,38.95792,-121.03209,unincorporated,daylight,06:55:00,0,highway,dry,normal,clear,1,no proof of insurance obtained,28,male,G,0,chevrolet,1994,1,4,1,5,1,1,chevrolet,1,1,2,1,0,3
2855087,pain,38.56698,-121.51122,>250000,daylight,16:15:00,0,ramp,dry,normal,clear,1,no proof of insurance obtained,21,male,not applicable,1,honda,1990,1,2,8,5,1,1,honda,2,1,2,1,0,3
2855749,property damage only,38.5549,-121.43682,>250000,daylight,17:00:00,0,highway,dry,normal,clear,1,proof of insurance obtained,24,male,not applicable,1,ford,2003,1,1,8,5,1,1,ford,1,1,1,1,0,3
2861646,other injury,38.54084,-121.47366,>250000,daylight,07:24:00,0,highway,dry,normal,clear,1,proof of insurance obtained,26,female,not applicable,1,chevrolet,2001,2,3,8,5,1,1,chevrolet,1,1,1,1,0,3
2861845,other injury,38.5,-121.45,>250000,daylight,10:00:00,0,highway,dry,normal,clear,1,proof of insurance obtained,39,female,not applicable,1,chevrolet,2001,2,3,8,5,1,1,chevrolet,1,1,1,1,0,3
2866131,pain,38.56557,-121.49979,>250000,daylight,17:40:00,0,highway,dry,normal,clear,1,proof of insurance obtained,45,male,not applicable,1,gmc,2006,1,2,8,5,1,1,gmc,1,1,1,1,0,3
2866400,property damage only,38.64226,-121.3708,unincorporated,dusk or dawn,18:10:00,0,highway,dry,normal,clear,1,proof of insurance obtained,38,male,not applicable,0,toyota,2003,1,1,1,3,1,1,toyota,1,1,1,1,0,3
2867085,property damage only,38.55757,-121.44736,unincorporated,daylight,18:00:00,0,highway,dry,normal,clear,1,proof of insurance obtained,42,female,not applicable,1,volkswagen,2006,2,1,1,5,1,1,volkswagen,1,1,1,1,0,3
2871685,severe injury,38.63651,-121.20637,unincorporated,daylight,16:50:00,0,highway,dry,normal,clear,1,proof of insurance obtained,32,female,not applicable,1,chevrolet,2003,2,4,1,5,1,1,chevrolet,1,1,1,1,0,3
2878556,severe injury,38.55221,-121.4167,>250000,dark with no street lights,20:55:00,0,highway,dry,normal,clear,1,proof of insurance obtained,22,male,not applicable,1,chevrolet,2002,1,4,8,1,1,1,chevrolet,1,1,1,1,0,3
2881549,fatal,38.49948,-121.44472,unincorporated,dark with no street lights,01:13:00,0,highway,dry,normal,clear,1,proof of insurance obtained,45,male,not applicable,0,harley-davidson,2005,1,5,1,1,1,1,harley-davidson,1,1,1,1,1,3
2881585,pain,38.54491,-121.4743,>250000,dark with street lights,18:30:00,0,highway,wet,normal,cloudy,1,no proof of insurance obtained,37,male,not applicable,1,nissan,1989,1,2,8,4,2,2,nissan,1,1,2,1,0,3
2907967,property damage only,38.55486,-121.47489,>250000,dusk or dawn,16:30:00,0,highway,wet,normal,cloudy,1,proof of insurance obtained,30,male,not applicable,0,chevrolet,1996,1,1,8,3,2,2,chevrolet,1,1,1,1,0,3
2916271,pain,38.56201,-121.45706,>250000,dark with no street lights,18:20:00,0,highway,wet,normal,cloudy,1,proof of insurance obtained,19,male,not applicable,1,toyota,1992,1,2,8,1,2,2,toyota,1,1,1,1,0,3
2916813,property damage only,38.5493,-121.42836,>250000,dark with street lights,21:40:00,0,ramp,dry,normal,fog,1,proof of insurance obtained,48,female,not applicable,1,chrysler,1998,2,1,8,4,1,5,chrysler,2,1,1,1,1,3
2917762,property damage only,38.64373,-121.1007,unincorporated,dark with no street lights,17:20:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,50,female,not applicable,0,gmc,2005,2,1,1,1,1,2,gmc,1,1,1,1,0,3
2917780,severe injury,38.58442,-121.50278,>250000,daylight,14:00:00,0,ramp,dry,normal,cloudy,1,proof of insurance obtained,50,male,not applicable,0,harley-davidson,2002,1,4,8,5,1,2,harley-davidson,2,1,1,1,0,3
2917814,pain,38.54961,-121.47366,>250000,daylight,15:00:00,0,highway,dry,normal,clear,1,proof of insurance obtained,45,male,not applicable,1,honda,1991,1,2,8,5,1,1,honda,1,1,1,1,0,3
2917839,property damage only,38.51721,-121.46371,unincorporated,dark with no street lights,18:45:00,0,highway,dry,normal,clear,1,proof of insurance obtained,48,male,not applicable,1,dodge,1998,1,1,1,1,1,1,dodge,1,1,1,1,0,3
2925018,severe injury,38.55557,-121.40181,>250000,daylight,17:28:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,21,male,not applicable,1,freightliner,1989,1,4,8,5,1,2,freightliner,1,1,1,1,0,3
2958786,property damage only,38.55264,-121.43453,>250000,daylight,12:46:00,0,highway,dry,normal,clear,1,proof of insurance obtained,21,female,not applicable,1,honda,1995,2,1,8,5,1,1,honda,1,1,1,1,0,3
2989776,pain,38.4886,-121.43779,unincorporated,daylight,09:35:00,0,highway,dry,normal,clear,1,proof of insurance obtained,32,female,not applicable,1,nissan,2003,2,2,1,5,1,1,nissan,1,1,1,1,0,3
2989784,property damage only,38.64105,-121.19851,unincorporated,dark with street lights,19:00:00,0,ramp,wet,normal,cloudy,1,proof of insurance obtained,41,female,not applicable,1,nissan,2005,2,1,1,4,2,2,nissan,2,1,1,1,0,3
2989854,pain,38.42688,-121.48497,50000 to 100000,daylight,08:56:00,0,ramp,wet,normal,cloudy,1,proof of insurance obtained,24,female,not applicable,1,toyota,1992,2,2,6,5,2,2,toyota,2,1,1,1,0,3
3000364,severe injury,38.64115,-121.19045,50000 to 100000,dark with street lights,18:25:00,0,highway,dry,normal,clear,1,proof of insurance obtained,19,male,not applicable,1,scion,2006,1,4,6,4,1,1,scion,1,1,1,1,0,3
3000372,severe injury,38.61211,-121.26233,>250000,daylight,13:00:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,34,male,not applicable,0,ford,2000,1,4,8,5,1,2,ford,1,1,1,1,0,3
3000411,pain,38.56013,-121.51034,>250000,daylight,08:55:00,0,ramp,dry,normal,clear,1,no proof of insurance obtained,23,female,not applicable,1,toyota,1994,2,2,8,5,1,1,toyota,2,1,2,1,0,3
3000465,pain,38.60334,-121.27623,>250000,daylight,07:25:00,0,highway,dry,normal,clear,1,proof of insurance obtained,58,female,not applicable,1,lexus,2000,2,2,8,5,1,1,lexus,1,1,1,1,0,3
3005251,other injury,38.53948,-121.47358,unincorporated,dark with no street lights,22:20:00,0,highway,dry,normal,clear,1,no proof of insurance obtained,61,male,not applicable,0,ford,1991,1,3,1,1,1,1,ford,1,1,2,1,0,3
