case_id,collision_severity,latitude,longitude,population,lighting,collision_time,intersection,location_type,road_surface,road_condition_1,weather_1,at_fault,financial_responsibility,party_age,party_sex,party_drug_physical,cellphone_in_use,vehicle_make,vehicle_year,party_sex_value,collision_severity_value,population_value,lighting_value,road_surface_value,weather_1_value,vehicle_make_norm,location_type_value,road_condition_1_value,financial_responsibility_value,party_drug_physical_value,alcohol_involved_value,ClusterNumber
3392416,property damage only,33.77771,-117.20699,unincorporated,daylight,06:55:00,0,highway,dry,normal,clear,1,proof of insurance obtained,44,male,not applicable,0,nissan,1995,1,1,1,5,1,1,nissan,1,1,1,1,0,2
3504579,property damage only,33.77443,-118.09203,25000 to 50000,daylight,11:45:00,0,highway,dry,normal,clear,1,proof of insurance obtained,18,male,not applicable,0,toyota,2000,1,1,5,5,1,1,toyota,1,1,1,1,0,2
3543657,severe injury,34.05251,-118.22336,>250000,daylight,11:45:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,22,male,not applicable,0,mercury,2002,1,4,8,5,1,1,mercury,2,1,1,1,0,2
3555281,pain,34.24483,-118.42341,>250000,daylight,14:00:00,0,highway,dry,normal,clear,1,proof of insurance obtained,54,female,not applicable,0,toyota,2000,2,2,8,5,1,1,toyota,1,1,1,1,0,2
3575993,property damage only,33.71185,-118.06345,unincorporated,daylight,11:50:00,0,highway,dry,normal,clear,1,proof of insurance obtained,93,male,G,0,ford,2000,1,1,1,5,1,1,ford,1,1,1,1,0,2
3579272,property damage only,33.76633,-117.92727,100000 to 250000,dark with street lights,17:30:00,0,highway,dry,normal,clear,1,proof of insurance obtained,24,female,not applicable,0,toyota,2005,2,1,7,4,1,1,toyota,1,1,1,1,0,2
3597077,other injury,33.48469,-117.14208,50000 to 100000,dark with street lights,20:25:00,0,highway,dry,normal,clear,1,no proof of insurance obtained,43,male,not applicable,0,toyota,1992,1,3,6,4,1,1,toyota,1,1,2,1,0,2
3604143,severe injury,34.27715,-119.29158,100000 to 250000,dark with no street lights,02:35:00,0,highway,dry,normal,clear,1,proof of insurance obtained,56,male,sleepy/fatigued,0,ford,1999,1,4,7,1,1,1,ford,1,1,1,3,0,2
3615644,fatal,32.71655,-117.11958,>250000,dark with street lights,23:37:00,0,ramp,dry,normal,cloudy,1,no proof of insurance obtained,27,male,not applicable,0,honda,1996,1,5,8,4,1,2,honda,2,1,2,1,1,2
3628767,severe injury,34.26702,-118.46786,>250000,daylight,13:10:00,0,highway,dry,normal,clear,1,proof of insurance obtained,29,female,not applicable,0,nissan,2004,2,4,8,5,1,1,nissan,1,1,1,1,0,2
3632347,severe injury,34.17336,-118.54562,>250000,dark with no street lights,22:43:00,0,highway,dry,normal,clear,1,proof of insurance obtained,25,male,not applicable,0,ford,2001,1,4,8,1,1,1,ford,1,1,1,1,1,2
3634928,severe injury,34.36272,-117.86544,unincorporated,daylight,11:00:00,0,highway,dry,normal,clear,1,proof of insurance obtained,24,male,not applicable,0,suzuki,2007,1,4,1,5,1,1,suzuki,1,1,1,1,0,2
3638479,pain,33.80851,-117.2355,25000 to 50000,dark with no street lights,23:40:00,0,highway,dry,normal,clear,1,proof of insurance obtained,25,male,not applicable,1,toyota,2004,1,2,5,1,1,1,toyota,1,1,1,1,0,2
3641941,severe injury,33.94201,-117.27565,unincorporated,daylight,11:45:00,0,highway,dry,normal,clear,1,proof of insurance obtained,83,female,not applicable,0,toyota,2003,2,4,1,5,1,1,toyota,1,1,1,1,0,2
3646212,other injury,33.9413,-117.23861,100000 to 250000,daylight,15:17:00,0,highway,dry,normal,clear,1,proof of insurance obtained,57,male,not applicable,0,harley-davidson,2006,1,3,7,5,1,1,harley-davidson,1,1,1,1,0,2
3650197,property damage only,34.2004,-118.4038,>250000,daylight,08:40:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,35,male,not applicable,0,toyota,1987,1,1,8,5,1,1,toyota,2,1,1,1,0,2
