case_id,collision_severity,latitude,longitude,population,lighting,collision_time,intersection,location_type,road_surface,road_condition_1,weather_1,at_fault,financial_responsibility,party_age,party_sex,party_drug_physical,cellphone_in_use,vehicle_make,vehicle_year,party_sex_value,collision_severity_value,population_value,lighting_value,road_surface_value,weather_1_value,vehicle_make_norm,location_type_value,road_condition_1_value,financial_responsibility_value,party_drug_physical_value,alcohol_involved_value,ClusterNumber
3367780,property damage only,33.49154,-117.14504,50000 to 100000,daylight,14:05:00,0,highway,dry,normal,clear,1,proof of insurance obtained,37,male,not applicable,0,dodge,2007,1,1,6,5,1,1,dodge,1,1,1,1,0,1
3392416,property damage only,33.77771,-117.20699,unincorporated,daylight,06:55:00,0,highway,dry,normal,clear,1,proof of insurance obtained,44,male,not applicable,0,nissan,1995,1,1,1,5,1,1,nissan,1,1,1,1,0,1
3505775,property damage only,34.17328,-118.54852,>250000,daylight,07:30:00,0,highway,wet,normal,cloudy,1,proof of insurance obtained,25,female,not applicable,0,volkswagen,1996,2,1,8,5,2,2,volkswagen,1,1,1,1,0,1
3506314,property damage only,33.7476,-117.84335,>250000,dark with no street lights,16:50:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,46,male,not applicable,0,dodge,1999,1,1,8,1,1,2,dodge,1,1,1,1,1,1
3528015,property damage only,33.73495,-117.99223,50000 to 100000,daylight,09:54:00,0,highway,dry,normal,clear,1,proof of insurance obtained,23,female,not applicable,0,saturn,2005,2,1,6,5,1,1,saturn,1,1,1,1,0,1
3549495,property damage only,33.66837,-117.30593,25000 to 50000,dark with no street lights,17:45:00,0,highway,dry,normal,clear,1,proof of insurance obtained,50,male,not applicable,0,ford,1999,1,1,5,1,1,1,ford,1,1,1,1,0,1
3555281,pain,34.24483,-118.42341,>250000,daylight,14:00:00,0,highway,dry,normal,clear,1,proof of insurance obtained,54,female,not applicable,0,toyota,2000,2,2,8,5,1,1,toyota,1,1,1,1,0,1
3555525,other injury,33.964,-117.377,>250000,daylight,16:06:00,0,highway,dry,normal,clear,1,proof of insurance obtained,32,male,not applicable,0,nissan,2008,1,3,8,5,1,1,nissan,1,1,1,1,0,1
3559996,property damage only,34.58326,-118.13437,100000 to 250000,daylight,08:25:00,0,ramp,wet,normal,cloudy,1,proof of insurance obtained,29,female,not applicable,0,dodge,2004,2,1,7,5,2,2,dodge,2,1,1,1,0,1
3571272,pain,34.23176,-118.47284,>250000,daylight,13:30:00,0,highway,dry,normal,clear,1,proof of insurance obtained,50,female,not applicable,0,bmw,2007,2,2,8,5,1,1,bmw,1,1,1,1,0,1
3580693,property damage only,36.83804,-119.78537,>250000,daylight,12:55:00,0,ramp,wet,normal,cloudy,1,proof of insurance obtained,25,female,not applicable,0,cadillac,2003,2,1,8,5,2,2,cadillac,2,1,1,1,0,1
3586897,pain,34.15408,-118.46815,>250000,dark with no street lights,05:30:00,0,highway,wet,normal,cloudy,1,proof of insurance obtained,20,male,not applicable,0,gmc,2002,1,2,8,1,2,2,gmc,1,1,1,1,0,1
3593375,property damage only,33.75857,-118.02175,50000 to 100000,daylight,07:50:00,0,highway,dry,normal,clear,1,no proof of insurance obtained,19,male,not applicable,0,toyota,1987,1,1,6,5,1,1,toyota,1,1,2,1,0,1
3610776,severe injury,33.93796,-117.40084,>250000,dark with street lights,00:37:00,0,highway,dry,normal,clear,1,proof of insurance obtained,34,male,not applicable,0,dodge,2000,1,4,8,4,1,1,dodge,1,1,1,1,1,1
3619293,property damage only,34.27016,-119.12986,unincorporated,daylight,08:00:00,0,highway,dry,normal,clear,1,proof of insurance obtained,21,female,not applicable,0,nissan,2008,2,1,1,5,1,1,nissan,1,1,1,1,0,1
3628474,property damage only,34.18261,-118.89021,100000 to 250000,daylight,07:50:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,27,female,not applicable,0,ford,2003,2,1,7,5,1,2,ford,1,1,1,1,0,1
3632347,severe injury,34.17336,-118.54562,>250000,dark with no street lights,22:43:00,0,highway,dry,normal,clear,1,proof of insurance obtained,25,male,not applicable,0,ford,2001,1,4,8,1,1,1,ford,1,1,1,1,1,1
3638479,pain,33.80851,-117.2355,25000 to 50000,dark with no street lights,23:40:00,0,highway,dry,normal,clear,1,proof of insurance obtained,25,male,not applicable,1,toyota,2004,1,2,5,1,1,1,toyota,1,1,1,1,0,1
3638610,property damage only,34.18658,-118.40281,>250000,daylight,11:20:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,62,female,not applicable,0,honda,2006,2,1,8,5,1,1,honda,2,1,1,1,0,1
3644716,pain,32.57566,-117.0816,>250000,dark with street lights,21:55:00,0,highway,dry,normal,cloudy,1,proof of insurance obtained,27,male,not applicable,0,toyota,2001,1,2,8,4,1,2,toyota,1,1,1,1,0,1
3648087,pain,34.21838,-119.05772,50000 to 100000,daylight,07:30:00,0,highway,dry,normal,clear,1,proof of insurance obtained,48,female,not applicable,0,gmc,2004,2,2,6,5,1,1,gmc,1,1,1,1,0,1
3652636,property damage only,33.93435,-118.09993,100000 to 250000,daylight,09:30:00,0,highway,dry,normal,clear,1,proof of insurance obtained,38,male,not applicable,0,gmc,1989,1,1,7,5,1,1,gmc,1,1,1,1,0,1
3653280,property damage only,34.1645,-118.47326,>250000,daylight,11:01:00,0,highway,dry,normal,clear,1,proof of insurance obtained,41,female,not applicable,0,jeep,2004,2,1,8,5,1,1,jeep,1,1,1,1,0,1
3654674,property damage only,34.18429,-118.9261,100000 to 250000,dark with street lights not functioning,00:30:00,0,highway,dry,normal,clear,1,no proof of insurance obtained,21,female,sleepy/fatigued,0,jeep,2007,2,1,7,2,1,1,jeep,1,1,2,3,0,1
3654939,property damage only,33.95793,-118.11167,100000 to 250000,daylight,14:35:00,0,highway,dry,normal,clear,1,proof of insurance obtained,27,male,not applicable,0,buick,2006,1,1,7,5,1,1,buick,1,1,1,1,0,1
3655068,property damage only,34.1581,-118.64179,10000 to 25000,daylight,09:50:00,0,highway,dry,normal,clear,1,proof of insurance obtained,44,male,not applicable,0,chevrolet,2005,1,1,4,5,1,1,chevrolet,1,1,1,1,0,1
