case_id,collision_severity,latitude,longitude,population,lighting,collision_time,intersection,location_type,road_surface,road_condition_1,weather_1,at_fault,financial_responsibility,party_age,party_sex,party_drug_physical,cellphone_in_use,vehicle_make,vehicle_year,party_sex_value,collision_severity_value,population_value,lighting_value,road_surface_value,weather_1_value,vehicle_make_norm,location_type_value,road_condition_1_value,financial_responsibility_value,party_drug_physical_value,alcohol_involved_value,ClusterNumber
2715239,other injury,38.47033,-121.41912,>250000,dark with street lights,03:30:00,0,ramp,dry,normal,clear,1,no proof of insurance obtained,26,female,not applicable,0,mazda,1994,2,3,8,4,1,1,mazda,2,1,2,1,1,3
2715262,pain,38.56543,-121.49941,>250000,daylight,09:55:00,0,highway,dry,normal,clear,1,proof of insurance obtained,58,female,not applicable,0,lincoln,1988,2,2,8,5,1,1,lincoln,1,1,1,1,0,3
2726805,property damage only,38.5674,-121.50231,>250000,daylight,17:50:00,0,highway,dry,normal,clear,1,proof of insurance obtained,48,female,not applicable,0,chevrolet,2002,2,1,8,5,1,1,chevrolet,1,1,1,1,0,3
2726809,property damage only,38.585,-121.45334,>250000,daylight,17:35:00,0,highway,dry,normal,clear,1,no proof of insurance obtained,29,female,not applicable,1,mercedes-benz,2005,2,1,8,5,1,1,mercedes-benz,1,1,2,1,0,3
2726818,pain,38.534,-121.517,unincorporated,daylight,18:15:00,0,highway,dry,normal,clear,1,proof of insurance obtained,51,female,not applicable,1,ford,2006,2,2,1,5,1,1,ford,1,1,1,1,0,3
2726862,other injury,38.6216,-121.23728,unincorporated,daylight,08:15:00,0,highway,dry,normal,clear,1,no proof of insurance obtained,47,male,not applicable,0,yamaha,2002,1,3,1,5,1,1,yamaha,1,1,2,1,0,3
2741365,pain,38.51702,-121.4638,unincorporated,daylight,15:40:00,0,highway,dry,normal,clear,1,proof of insurance obtained,51,male,not applicable,1,honda,2005,1,2,1,5,1,1,honda,1,1,1,1,0,3
2741429,pain,38.58504,-121.45285,>250000,daylight,15:05:00,0,highway,dry,normal,clear,1,no proof of insurance obtained,27,female,not applicable,1,toyota,1998,2,2,8,5,1,1,toyota,1,1,2,1,0,3
2741512,property damage only,38.55452,-121.4043,>250000,daylight,08:38:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,33,male,G,0,international harvester,1995,1,1,8,5,1,1,international harvester,2,1,1,1,0,3
2741520,pain,38.4795,-121.4286,unincorporated,daylight,08:55:00,0,highway,dry,normal,clear,1,no proof of insurance obtained,23,male,not applicable,1,chevrolet,1970,1,2,1,5,1,1,chevrolet,1,1,2,1,0,3
2743109,property damage only,38.33954,-121.47157,>250000,daylight,09:15:00,0,ramp,dry,loose material,clear,1,proof of insurance obtained,51,male,not applicable,1,isuzu,2004,1,1,8,5,1,1,isuzu,2,4,1,1,0,3
2743132,other injury,38.55857,-121.47352,unincorporated,daylight,18:00:00,0,highway,dry,normal,clear,1,proof of insurance obtained,30,female,not applicable,0,mitsubishi,2002,2,3,1,5,1,1,mitsubishi,1,1,1,1,0,3
2743144,property damage only,38.60725,-121.27042,unincorporated,daylight,15:00:00,1,ramp,dry,normal,clear,1,proof of insurance obtained,45,male,not applicable,0,honda,2003,1,1,1,5,1,1,honda,2,1,1,1,0,3
2743931,property damage only,38.45726,-121.41272,unincorporated,daylight,19:10:00,0,ramp,dry,normal,clear,1,proof of insurance obtained,18,male,not applicable,0,honda,1997,1,1,1,5,1,1,honda,2,1,1,1,0,3
